job_title,job_description,job_requirements,job_deadline
Sr. Software Engineer - Falcon Fusion & Foundry (Remote),"Our Fusion Product is on the hunt for a Senior-to-Principal (Level 7) backend software Engineer to build out platform products which provide our external users with core orchestration and workflow capabilities within their own environments, including (but not limited to) automated threat remediation.      Falcon Fusion – a core ‘tier one’ offering in our Flagship Platform, Falcon – is the Falcon product used by customers to automate breach remediations within their environments. It also serves as the runtime of apps build by our Foundry Module, and is 'dogfooded' by us internally to automate other workflows and speed up development. With these many varied uses, it can be responsible for processing anywhere from 500M to 10B+ events/day and is in use by essentially every single customer of the Falcon Platform.      This role is for an experienced backend microservices developer adept with cloud engineering principles. Your passion and meticulous attention to performance, reliability and scalability will be key ingredients to your success here at CrowdStrike.","['Degree in Computer Science (or commensurate experience in data structures/algorithms/distributed systems).', 'Expert knowledge of any of the following backend languages: Go, Scala, Java, Node.js or Python (We use Go)', ""Over 7 years' experience in a full-time backend software development role, especially building high volume services and systems for a cloud-delivered SaaS product"", 'Ample experience with NoSQL databases for a SaaS product', 'Solid grounding in the technology of at least one cloud environment (AWS, Azure, GCP)', 'The ability to scale backend systems – sharding, partitioning, scaling horizontally are second nature to you.', 'The ability to troubleshoot and pinpoint system failures across a broad pipeline of services.', 'Deep understanding of distributed systems and scalability challenges, multi-threading, concurrency, and parallel processing technologies.', 'Proven expertise in building distributed systems, micro services, REST APIs', 'Experience developing applications using SQL and No-SQL databases', 'Contributed to the open source community (GitHub, Stack Overflow, blogging)', 'Master’s degree in computer science or related field', 'Golang experience', 'Prior experience with cybersecurity', '#LI-Remote', '#LI-MP1', '#LI-DG1', '#HTF', '#HTF']",02-06-2025
Sr. Software Engineer - Ingestion (Remote),"Our Ingestion group at Crowdstrike manages all network communications event traffic between our security cloud and customer resources. This means ultra-high volume services (all written in Golang) supported by Kafka, and plenty of work with network connections and protocols (etc. - negotiating TLS, balancing network connections, managing virtual sessions, distributing dynamic content, managing datastreams, and so on).   CrowdStrike is seeking a backend software engineer who wants to grow at scale, is comfortable with being technically stretched, and would like to positively impact our mission to stop breaches. Your experience working with large-scale distributed systems will be applied across a range of services.","['Degree in Computer Science (or commensurate experience in data structures/algorithms/distributed systems).', ""Over 7 years' experience in a full-time backend software development role"", 'Ample experience building high volume services and systems for a cloud-delivered SaaS product', 'Solid grounding in the technology of at least one cloud environment (AWS, Azure, GCP)', 'The ability to scale backend systems – sharding, partitioning, scaling horizontally are second nature to you.', 'The ability to troubleshoot and pinpoint system failures across a pipeline of services.', 'The desire to ship code and the love of seeing your bits run in production.', 'Deep understanding of distributed systems and scalability challenges, multi-threading, concurrency, and parallel processing technologies.', 'Team player skills – we embrace collaborating as a team as much as possible', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code reviews and resilient architecture.', 'The ability to thrive in a fast paced, test-driven, collaborative and iterative programming environment.', 'The skills to meet your commitments on time and produce high quality software that is unit tested, code reviewed, and checked in regularly for continuous integration.', 'Ability to brainstorm, define, and build collaboratively with members across multiple teams.', 'Solid design and problem solving skills with demonstrated passion for engineering excellence, quality, security and performance', 'Strong cross-group collaboration and interpersonal communication skills working with a variety of roles; including engineering, product management, support and sales engineering', 'Industry experience in implementing web servers and load balancers', 'Authored and lead successful open source libraries and projects', 'Contributions to the open source community (GitHub, Stack Overflow, blogging)', 'Existing exposure to Go, Scala, AWS, Cassandra, Kafka, Elasticsearch…', 'Prior experience in the cybersecurity or intelligence fields', '#LI-Remote', '#LI-MP1', '#LI-DG1', '#HTF', '#HTF']",02-06-2025
"Director, Engineering - Cloud Security Runtime Protection (Remote)",,"['Experience leading highly skilled agent engineering teams', 'Demonstrated track record of building a strong core engineering team and engineering team management', 'Deep understanding of Linux and it’s internals', 'Proven ability to build security or real-time agent for Linux', 'Familiarity with eBPF technology', '10+ years of software engineering experience in all phases of a software development lifecycle', 'Broad grounding in all aspects of distributed systems development: understanding of distributed systems concepts', 'Solid design and problem solving skills with demonstrated passion for engineering excellence, quality, security and performance', 'Strong cross-group collaboration and interpersonal communication skills working with a variety of roles including engineering, product management, support and sales engineering', 'Experience working with remote teams and individuals while ensuring agility and code velocity', 'Ability to communicate and articulate crisply at all levels from executive staff to engineers', 'Understanding of Kubernetes and its role in cloud computing', 'Familiarity with cloud computing and deployment of software in the cloud', 'Solid grounding in the technology of at least one cloud environment (AWS, Azure, GCP)', 'Experience with hybrid cloud environments', 'Machine learning and data science familiarity and hands on experience', 'Exposure to/experience with cybersecurity and intelligence', '#LI-JC1', '#LI-OC1', '#LI-Remote', '#HTF']",12-03-2024
Software Engineer - Cloud Security Group,"The Asset’s Relations and Intelligence is a new and innovative group at CrowdStrike Cloud Security. We are looking for a engineer to be part of the pioneer engineers spearheading a new initiative at CrowdStrike.   This role involves gathering information and insights from various CrowdStrike cloud products, establishing connections, and providing customers with a clearer understanding of the asset and its potential risks.  We’re a highly collaborative, friendly, inclusive and diverse group that prizes collaboration over competition. We provide opportunities to learn new skills, mentor fellow engineers, and contribute to the direction of both the team and the products for which we’re responsible. We work in a distributed, remote-friendly, high-trust environment where you manage your own time and have the flexibility to balance your work and personal life. As a remote employee, you connect to your co-workers mostly via Slack and Zoom. In this setting your ability to work unsupervised, communicate asynchronously, and take initiative in maintaining lines of communication is crucial.","['Experience in programming, with proficiency in at least one object-oriented programming language, featuring strong types. Golang or Python are preferred.', 'Knowledge on services with at least two Cloud providers out of Aws, Azure and GCP.', 'Experience developing and consuming RESTful API web services.', 'Experience interacting with major cloud provider APIs to provision cloud infrastructure, and to monitor it. We use Amazon Web Services (AWS) cloud provider APIs the most, as well as Azure and Google Cloud (GCP).', 'Understanding data structures and commands for a key-value distributed caching solution, such as Redis.', 'Experience using RDBMS databases, and accompanying knowledge of SQL, such as Postgres.', 'Experience with data modeling and Extract-Transform-Load (ETL) concepts.', ""Bachelor's degree or equivalent work experience. Proficiency with common algorithms, data structures, code whiteboarding."", 'Experience with analytical databases', 'Understanding data structures and various APIs, for full-text search of application logs and event data in Elasticsearch.', 'Experience with Cassandra, CQL, and its wide-column store database.', 'Experience using graph structures (ie. nodes, edges), graph data, and graph databases.', 'Experience using a message queue. We use Kafka.', '#LI-MB1']",
"Engineer III - Sensor, Windows Vulnerability Research & Detection (Remote)","CrowdStrike is looking for a Software Engineer III to join our growing Content Research & Exploit Detection team within the Content group, which focuses on emerging vulnerability research, exploit mitigations, and security-related endpoint development on the Windows operating system.   The Content group plays a central role in fulfilling CrowdStrike’s mission to Stop Breaches. Within the Content Research & Exploit Detection team (CRED), we research the latest common vulnerabilities and exposures (CVEs) to develop tools and techniques that expand sensor visibility and explore ways to detect advanced malicious behavior on customer endpoint devices. Our goal is to enable the sensor to autonomously identify and stop tools, techniques, and procedures where possible, and to provide useful visibility and guidance to security analysts when new previously unknown adversary activity occurs.   As a software engineer III within the CRED  team, you will be focused on the analysis and development of detection strategies for attack techniques across supported Windows OS versions. You’ll work collaboratively to implement detection logic within the Falcon sensor which includes both user-mode and kernel-mode components that together observe system activity, recognize malicious behavior, provide on-box prevention and remediation capabilities, and send relevant security related telemetry to the Falcon Cloud. You’ll help find creative and resourceful ways to detect Windows specific threats while also helping to develop features that leverage telemetry from common OS subsystems such as: file system, memory, process, and network activity. You’ll get exposure to both user-mode and kernel-mode coding practices.   As a Software Engineer III, you will also collaborate with a wide range of other teams across the group as you help contribute to team initiatives and assist with operational response requirements. You’ll be expected to make contributions from the initial concept phase through design, implementation, release, and bugtail/support with a focus and passion for sensor performance, testing, and feature support. We're looking for smart people who want to be challenged and take ownership of what they build.","['Post-secondary education in computer science, engineering, or information security OR relevant experience.', 'Low-level OS knowledge of Windows operating system internals, security features, components, APIs, and design.', 'Proficiency in multiple programming languages including C, C++, and Python as well as familiarity with multiple processor architectures', 'Recent and relevant experience in vulnerability analysis and exploitation techniques,', 'Experience in software instrumentation, testing, and code coverage analysis', 'Knowledge of cyber security practices, challenges, tools, and techniques', 'Team player – able to lead, mentor, communicate, collaborate, and work effectively in a globally distributed team.', 'At least one of the following certifications is desirable:', 'Offensive Security Certified (OSCP, OSCE, OSEE)', 'Council of Registered Security Testers (CREST) Registered or Certified Professional certificate', 'SANS GIAC Penetration Tester, Web Application Penetration Tester, Exploit Researcher and Advanced Penetration Tester', 'Prior experience working with low-level code, such as OS kernel components, minifilters, or device drivers.', 'Understanding of kernel-mode and multi-threaded concurrent systems development in any of our supported platforms, with an interest to grow skills in all of them.', 'Prior penetration testing experience.', 'Prior experience delivering software via agile processes.', 'Prior participation in cyber security challenges (e.g. CTFs).', '#LI-CW1', '#LI-Remote', '#HTF']",11-17-2024
"Principal Software Engineer, Data Platform (Remote)",,"['(Any of) 15+ years with B.S. in a related field, 12+ years with M.S. in a related field, or 10+ years with PhD in a related field', '6+ years of production experience building self-service platforms based upon Spark, Flink or equivalent', 'Strong familiarity (and ample hands-on experience) with the Apache Hadoop ecosystem: Spark, Kafka, Hive/Iceberg/Delta Lake, Presto/Trino, Pinot, etc.', '3+ years coding in Java, Scala, Kotlin or another JVM language.', 'Production experience with relational SQL and NoSQL databases, including Postgres/MySQL, Cassandra/DynamoDB, etc.', 'Proven expertise with multiple big data frameworks, especially handling data volume at multi-petabyte scale.', 'Proven expertise with algorithms, distributed systems design and the software development lifecycle', 'Great test driven development discipline', 'Reasonable proficiency with Linux administration tools', 'Proven ability to work effectively with remote teams', 'Familiarity with Go', 'Familiarity with Kubernetes/Mesos or equivalent', 'Production experience with Flink, especially as runtime for a self-service platform', '#LI-MP1', '#LI-DG1', '#LI-Remote', '#HTF', '#HTF']",05-22-2024
"Regional Sales Manager, Major Accounts (Remote, NLD)",,"['As a Regional Sales Manager – Netherlands, your skills and qualifications will include:', 'Fluent in both Dutch and English', 'Proven successful track record in a similar role selling high technology products to FTSE 250', 'Ability to network multiple levels within an account up to C-Level', 'Strong Security Technology knowledge', 'Excellent verbal, written and presentation skills', 'Ability to create and deliver value propositions', 'Ability to identify and influence key decision makers', 'Ability to succeed in a quota driven sales environment at an Enterprise level for a minimum of 2 – 4 years.', 'Sales track record in the IT security industry preferred', 'Capable of closing solutions and services opportunities in the range of £150k – £1m', 'Familiar with formal sales training methodologies (e.g. MEDDIC, Miller-Hieman, TAS)', 'Strong business acumen and professionalism. Leadership, accountability qualities required', 'Salesforce.com experience preferable', '#LI-Remote', '#LI-BM1']",
Sr. Engineer - Product Security (Remote),,"['Experience in a Software Engineering role (event-driven systems, data ingestion pipelines, internal automation tools, internal monitoring tools)', 'Experience with configuration management & orchestration software such as Ansible, Chef, Salt, Puppet, etc.', 'Experience in a Product Security role (product platforms, customer facing applications). SaaS company background is a strong bonus.', 'In-depth understanding of CI/CD pipelines, containers, software cryptographic signing, and OSS dependencies', 'Broad awareness of the cybersecurity landscape including adversaries, modes of interest, and TTPs', 'Experience working with ElasticSearch and relational databases', 'Experience working with graph database solutions for building internal asset relationships', 'Experience monitoring / analyzing telemetry data from applications and infrastructure', 'Experience in Security Operations and/or Incident Response.', 'Experience developing in Python, Golang, Angular, and Typescript.', 'Experience with Cloud-scale, business-critical Linux environments.', 'Experience operating within the cloud, preferably Amazon Web Services.', 'A combination of confidence and independence... with the prudence to know when to ask for help from the rest of the team.', 'Bachelor’s degree in an applicable field, such as CS, CIS or Engineering.', '#LI-MF1', '#LI-SF1', '#LI-Remote', '#HTF']",10-19-2024
Sr. Software Engineer - Sensor (MAC),"CrowdStrike Falcon Host is a two-component security product. One component is a “sensor”: a driver installed on client machines that observes system activity and recognizes malicious behavior, then provides on-box prevention capability and remote telemetry to the Falcon Host cloud. The sensor processes thousands of events per second to provide deep visibility into operations on the endpoint, and performs rich correlation and computation to identify malicious events and blocks malicious activity.  The cloud component aggregates sensor telemetry for each customer’s network, correlates malicious behavior across multiple machines, and presents our customers’ operations teams with a prioritized summary of the threats detected in their environments.  This is a macOS Developer role in the engineering team that delivers data protection-focused functionality in the sensor (lightweight agent) on macOS. Engineers in the team own the design and development of core features on the platform. Data protection-focused functionality centers around file interfaces, including related Endpoint Security System Extension interfaces. The team operates under the Agile development principles and ships frequently.","['Ability to develop high-quality code in Objective-C and/or Swift', 'macOS system extension development experience', 'Ability to demonstrate Objective-C and/or Swift and macOS system extension development capabilities, be it through job experience, schoolwork, or contributions to community projects', 'Experience with kernel-level debugging processes and tools', 'As a plus: understanding of the macOS VFS model, the basics of local and remote filesystem implementations, and the corresponding interfaces provided by Apple', '#LI-MZ1']",
"Sr. Engineer, Application Security - Product Security (Remote)",,"['Self-motivated to identify security defects and engage with engineering teams to find solutions', 'A deep understanding of how software products are created and shipped in Agile/DevOps like environments', 'Experience with threat model framework(s), especially using STRIDE', 'Proven experience in code review for apps built with Go (Golang), Python, Rust, or JavaScript (emphasis on browser-side)', 'A working knowledge of secure configuration of cloud-native and containerized apps in multiple Cloud environments (GCP, Azure, AWS)', 'Experience using and/or maintaining commercially available AppSec tools like SAST, DAST, IAST, and ASPM suites', 'A solid understanding of common software weaknesses that impact cloud and web applications (not just the OWASP Top 10) and demonstrable experience in application penetration testing', 'Examples of collaborating across technical teams: asking technical questions, challenging assumptions, getting or providing context for decisions, etc.', 'Demonstrable experience developing/maintaining automation for application security tasks and defect identification', 'These skills are not required and/or we’re willing to teach them, but they are helpful.', 'Experience working at extremely large scale', 'Comfortable with ambiguity and capable of determining direction', 'Example(s) of having a positive working relationship with product engineers (software product development experience is a huge bonus)', 'Deep knowledge of Docker and Kubernetes (k8s)', 'Experience with WebAssembly (WASM)', 'Engaged in providing security enhancements to open source projects', 'Experience in mentoring, coaching, and/or improving team culture', 'Education/Certifications:', 'Technical security certifications or academic background are a plus.', '#LI-MF1', '#LI-SF1', '#LI-Remote', '#HTF']",02-04-2025
